Student_ID,Hours_Studied,Attendance_Pct,Past_Grade,Teacher_Notes,Handwritten_Grade_Label,Student_Category,Final_Score
1093,7.8,68.2,68.7,Shows excellent analytical thinking.,4,Average,75.1
1094,6.1,80.9,95.7,Demonstrates great understanding of core concepts and outstanding performance this semester.,9,Average,85.0
1095,7.9,71.5,59.9,Demonstrates great understanding of core concepts.,3,Average,73.6
1096,5.4,91.7,67.9,Demonstrates great understanding of core concepts and active participant and eager to learn.,1,Average,77.7
1097,5.7,83.1,40.8,Shows excellent analytical thinking but frequently distracted during lectures.,4,Average,65.8
1098,4.8,85.4,44.9,Consistently submits assignments on time but frequently distracted during lectures.,4,Average,55.3
1099,1.2,91.9,55.5,Consistently submits assignments on time but struggling with algebra concepts.,6,Average,58.4
1100,2.0,75.8,41.7,Needs significant improvement in fundamentals and needs significant improvement in fundamentals.,0,Dropout Risk,40.4
1101,1.3,96.6,77.9,Outstanding performance this semester but struggling with algebra concepts.,3,Average,67.6
1102,6.7,81.3,65.6,Highly engaged in class discussions and demonstrates great understanding of core concepts.,4,Average,77.3
1103,3.8,66.3,72.9,Struggling with algebra concepts.,7,Dropout Risk,52.9
1104,5.6,87.8,50.5,Frequently distracted during lectures but highly engaged in class discussions.,7,Average,66.5
1105,9.2,91.7,57.8,Consistently submits assignments on time and demonstrates great understanding of core concepts.,0,Average,80.4
1106,3.2,72.7,79.8,Outstanding performance this semester.,4,Average,61.3
1107,4.7,94.3,97.9,Active participant and eager to learn and outstanding performance this semester.,9,Average,90.6
1108,7.8,96.2,43.0,Needs significant improvement in fundamentals but consistently submits assignments on time.,0,Average,70.1
1109,3.1,71.1,93.4,Outstanding performance this semester.,0,Average,65.4
1110,1.7,99.3,74.6,Struggling with algebra concepts but highly engaged in class discussions.,1,Average,66.0
1111,3.6,65.6,73.8,Outstanding performance this semester.,1,Average,65.3
1112,2.5,68.1,70.0,Struggling with algebra concepts.,8,Average,56.3
1113,9.4,67.4,44.2,Needs significant improvement in fundamentals but shows excellent analytical thinking.,3,Average,76.5
1114,8.3,95.8,45.4,Consistently submits assignments on time but frequently distracted during lectures.,2,Average,78.5
1115,6.7,86.2,76.1,Demonstrates great understanding of core concepts and outstanding performance this semester.,0,Average,68.8
1116,8.8,66.1,60.5,Shows excellent analytical thinking.,1,Average,72.3
1117,8.2,77.6,95.0,Demonstrates great understanding of core concepts and outstanding performance this semester.,5,Average,87.3
1118,2.7,84.6,64.4,Highly engaged in class discussions.,8,Average,62.9
1119,9.0,63.3,48.6,Finds it difficult to keep up with the pace but shows excellent analytical thinking.,4,Average,56.9
1120,5.9,95.3,82.9,Active participant and eager to learn and shows excellent analytical thinking.,3,Top 5%,95.0
1121,8.3,92.1,57.6,Active participant and eager to learn and demonstrates great understanding of core concepts.,4,Average,82.3
1122,9.1,80.2,71.5,Consistently submits assignments on time and demonstrates great understanding of core concepts.,8,Average,85.1
1123,3.9,98.7,81.9,Outstanding performance this semester and consistently submits assignments on time.,6,Average,81.8
1124,2.0,76.7,94.0,Struggling with algebra concepts but outstanding performance this semester.,7,Average,79.3
1125,3.1,99.4,87.5,Outstanding performance this semester and consistently submits assignments on time.,3,Average,79.9
1126,4.8,86.7,80.6,Outstanding performance this semester and consistently submits assignments on time.,7,Average,79.9
1127,8.4,85.4,80.8,Shows excellent analytical thinking and outstanding performance this semester.,5,Average,87.8
1128,8.7,66.6,96.8,Demonstrates great understanding of core concepts and outstanding performance this semester.,4,Average,88.6
1129,1.1,95.3,57.7,Struggling with algebra concepts but active participant and eager to learn.,6,Dropout Risk,53.0
1130,5.6,77.1,40.1,Needs significant improvement in fundamentals but demonstrates great understanding of core concepts.,5,Average,54.6
1131,4.8,66.5,56.3,Finds it difficult to keep up with the pace but demonstrates great understanding of core concepts.,2,Average,55.7
1132,3.0,60.5,53.1,Frequently distracted during lectures and finds it difficult to keep up with the pace.,4,Dropout Risk,43.1
1133,2.1,82.4,79.7,Outstanding performance this semester and consistently submits assignments on time.,8,Average,63.5
1134,4.0,81.1,78.0,Outstanding performance this semester and highly engaged in class discussions.,6,Average,61.2
1135,9.5,88.8,75.6,Outstanding performance this semester and highly engaged in class discussions.,3,Average,91.0
1136,3.9,95.6,41.0,Needs significant improvement in fundamentals but highly engaged in class discussions.,6,Average,58.6
1137,5.7,63.2,83.7,Demonstrates great understanding of core concepts but finds it difficult to keep up with the pace.,4,Average,73.0
1138,7.3,89.3,59.4,Demonstrates great understanding of core concepts and active participant and eager to learn.,1,Average,73.6
1139,4.3,67.5,79.9,Outstanding performance this semester.,5,Average,82.5
1140,9.7,94.3,73.4,Demonstrates great understanding of core concepts and active participant and eager to learn.,6,Top 5%,98.6
1141,9.7,92.8,60.6,Active participant and eager to learn and shows excellent analytical thinking.,7,Average,79.6
1142,3.3,81.6,48.1,Active participant and eager to learn but needs significant improvement in fundamentals.,5,Average,56.3
1143,5.5,88.4,45.7,Demonstrates great understanding of core concepts but frequently distracted during lectures.,7,Average,60.9
1144,3.7,72.6,89.9,Outstanding performance this semester.,6,Average,65.6
1145,3.6,78.8,95.1,Outstanding performance this semester.,1,Average,67.5
1146,1.3,92.9,79.0,Outstanding performance this semester but needs significant improvement in fundamentals.,5,Average,66.3
1147,6.5,78.4,46.2,Frequently distracted during lectures but demonstrates great understanding of core concepts.,8,Average,61.3
1148,5.5,74.3,64.1,Shows excellent analytical thinking.,5,Average,72.1
1149,1.5,79.8,83.7,Struggling with algebra concepts but outstanding performance this semester.,3,Average,67.5
1150,3.5,93.1,86.8,Highly engaged in class discussions and outstanding performance this semester.,6,Average,81.8
1151,9.2,73.4,47.1,Demonstrates great understanding of core concepts but frequently distracted during lectures.,2,Average,68.7
1152,3.2,67.0,40.0,Frequently distracted during lectures.,4,Dropout Risk,49.5
1153,2.3,88.5,82.7,Outstanding performance this semester and consistently submits assignments on time.,0,Average,70.9
1154,5.4,93.0,61.4,Demonstrates great understanding of core concepts and highly engaged in class discussions.,9,Average,69.0
1155,9.9,64.0,55.3,Inconsistent attendance affecting performance but demonstrates great understanding of core concepts.,2,Average,72.0
1156,3.2,69.6,40.8,Frequently distracted during lectures.,7,Average,56.4
1157,7.0,65.7,72.4,Demonstrates great understanding of core concepts.,8,Average,74.5
1158,7.9,73.9,91.1,Demonstrates great understanding of core concepts and outstanding performance this semester.,8,Average,89.3
1159,3.1,78.0,97.5,Outstanding performance this semester.,9,Average,69.3
1160,7.6,90.0,73.9,Demonstrates great understanding of core concepts and highly engaged in class discussions.,1,Average,76.9
1161,4.3,86.0,70.9,Active participant and eager to learn.,3,Average,66.4
1162,6.7,84.8,45.1,Demonstrates great understanding of core concepts but frequently distracted during lectures.,4,Average,66.3
1163,6.7,74.1,72.9,Demonstrates great understanding of core concepts.,2,Average,69.5
1164,5.8,93.7,62.8,Shows excellent analytical thinking and consistently submits assignments on time.,0,Average,73.5
1165,1.8,78.9,76.4,Struggling with algebra concepts but outstanding performance this semester.,5,Dropout Risk,52.1
1166,8.5,99.2,63.3,Shows excellent analytical thinking and active participant and eager to learn.,9,Average,79.3
1167,3.9,85.4,54.4,Active participant and eager to learn but needs significant improvement in fundamentals.,1,Average,64.3
1168,2.7,65.1,45.7,Frequently distracted during lectures.,8,Dropout Risk,50.2
1169,1.4,87.0,58.9,Consistently submits assignments on time but struggling with algebra concepts.,0,Dropout Risk,52.5
1170,6.3,73.0,45.8,Needs significant improvement in fundamentals but demonstrates great understanding of core concepts.,8,Average,57.2
1171,7.1,87.5,50.6,Frequently distracted during lectures but consistently submits assignments on time.,6,Average,66.2
1172,1.1,62.8,99.2,Finds it difficult to keep up with the pace but outstanding performance this semester.,9,Average,60.7
1173,5.6,67.0,66.6,Shows excellent analytical thinking.,1,Average,69.6
1174,3.0,94.2,71.9,Highly engaged in class discussions.,5,Average,72.3
1175,6.8,69.1,92.4,Demonstrates great understanding of core concepts and outstanding performance this semester.,7,Average,79.0
1176,2.6,93.5,99.7,Outstanding performance this semester and active participant and eager to learn.,1,Average,71.2
1177,7.2,71.2,75.0,Demonstrates great understanding of core concepts.,4,Average,77.9
1178,4.5,85.7,88.7,Consistently submits assignments on time and outstanding performance this semester.,5,Average,72.8
1179,9.4,87.8,59.6,Shows excellent analytical thinking and consistently submits assignments on time.,2,Average,80.6
1180,2.2,80.5,58.3,Consistently submits assignments on time.,1,Average,61.9
1181,4.1,72.2,64.2,Shows excellent analytical thinking.,5,Average,65.7
1182,2.0,68.5,80.4,Outstanding performance this semester.,2,Average,60.6
1183,9.3,61.3,80.9,Inconsistent attendance affecting performance but demonstrates great understanding of core concepts.,1,Average,77.0
1184,8.9,72.2,58.9,Demonstrates great understanding of core concepts.,0,Average,77.4
1185,3.3,86.1,48.0,Needs significant improvement in fundamentals but active participant and eager to learn.,7,Average,62.0
1186,6.9,97.5,77.9,Shows excellent analytical thinking and outstanding performance this semester.,0,Average,82.8
1187,8.4,94.8,47.7,Active participant and eager to learn but frequently distracted during lectures.,4,Average,83.5
1188,6.0,90.6,74.7,Shows excellent analytical thinking and highly engaged in class discussions.,5,Average,84.5
1189,5.8,91.5,81.6,Consistently submits assignments on time and outstanding performance this semester.,2,Average,88.6
1190,3.2,86.6,82.0,Outstanding performance this semester and active participant and eager to learn.,6,Average,71.4
1191,1.8,70.4,85.2,Struggling with algebra concepts but outstanding performance this semester.,1,Average,64.6
1192,9.1,96.3,92.4,Active participant and eager to learn and outstanding performance this semester.,6,Top 5%,100.0
1193,9.1,86.8,70.0,Active participant and eager to learn and shows excellent analytical thinking.,1,Average,88.1
1194,6.7,82.4,83.8,Shows excellent analytical thinking and highly engaged in class discussions.,4,Average,79.2
1195,4.1,64.4,77.2,Inconsistent attendance affecting performance but outstanding performance this semester.,6,Average,62.1
1196,4.1,77.9,51.2,Needs significant improvement in fundamentals.,2,Average,59.5
1197,7.5,78.4,41.5,Demonstrates great understanding of core concepts but needs significant improvement in fundamentals.,3,Average,60.1
1198,9.1,94.6,57.1,Consistently submits assignments on time and shows excellent analytical thinking.,0,Average,82.2
1199,9.0,81.9,66.6,Demonstrates great understanding of core concepts and highly engaged in class discussions.,2,Average,88.1
1200,8.0,75.2,77.0,Demonstrates great understanding of core concepts and outstanding performance this semester.,8,Average,70.5
1201,6.8,99.1,91.0,Demonstrates great understanding of core concepts and outstanding performance this semester.,9,Top 5%,97.5
1202,1.8,64.4,51.8,Struggling with algebra concepts and frequently distracted during lectures.,4,Dropout Risk,51.8
1203,2.5,76.9,47.5,Needs significant improvement in fundamentals.,7,Dropout Risk,48.4
1204,9.1,61.7,97.8,Finds it difficult to keep up with the pace but outstanding performance this semester.,1,Top 5%,92.1
1205,6.5,89.6,46.5,Needs significant improvement in fundamentals but demonstrates great understanding of core concepts.,2,Average,68.1
1206,1.1,96.7,68.7,Highly engaged in class discussions but struggling with algebra concepts.,6,Average,66.4
1207,1.9,71.2,75.1,Needs significant improvement in fundamentals but outstanding performance this semester.,9,Average,63.0
1208,7.0,94.3,72.5,Active participant and eager to learn and shows excellent analytical thinking.,3,Average,74.7
1209,1.0,71.7,45.2,Needs significant improvement in fundamentals and frequently distracted during lectures.,8,Dropout Risk,46.2
1210,2.4,96.4,43.4,Highly engaged in class discussions but frequently distracted during lectures.,6,Dropout Risk,53.8
1211,5.9,90.2,46.3,Consistently submits assignments on time but frequently distracted during lectures.,0,Average,66.8
1212,7.2,92.2,75.1,Outstanding performance this semester and demonstrates great understanding of core concepts.,3,Average,79.4
1213,6.9,60.7,72.7,Demonstrates great understanding of core concepts but finds it difficult to keep up with the pace.,9,Average,80.1
1214,3.0,98.5,54.0,Frequently distracted during lectures but active participant and eager to learn.,5,Average,66.9
1215,7.4,89.1,78.3,Consistently submits assignments on time and outstanding performance this semester.,5,Average,80.3
1216,3.1,72.2,89.2,Outstanding performance this semester.,9,Average,61.6
1217,3.9,93.2,42.5,Consistently submits assignments on time but needs significant improvement in fundamentals.,5,Average,56.8
1218,7.7,71.3,69.9,Demonstrates great understanding of core concepts.,4,Average,78.5
1219,6.8,94.9,81.4,Highly engaged in class discussions and shows excellent analytical thinking.,2,Average,86.2
1220,8.6,64.5,55.1,Shows excellent analytical thinking but finds it difficult to keep up with the pace.,1,Average,77.9
1221,6.9,88.1,58.5,Shows excellent analytical thinking and consistently submits assignments on time.,2,Average,78.0
1222,6.1,81.6,76.8,Outstanding performance this semester and shows excellent analytical thinking.,8,Average,81.5
1223,1.8,63.9,93.9,Finds it difficult to keep up with the pace but outstanding performance this semester.,2,Average,64.8
1224,4.3,69.7,88.6,Outstanding performance this semester.,2,Average,64.5
1225,3.4,60.5,75.0,Inconsistent attendance affecting performance.,0,Average,59.0
1226,3.2,78.8,83.8,Outstanding performance this semester.,1,Average,73.6
1227,9.8,72.1,61.9,Demonstrates great understanding of core concepts.,2,Average,80.3
1228,4.5,83.9,78.5,Highly engaged in class discussions and outstanding performance this semester.,1,Average,75.0
1229,9.0,71.9,68.0,Demonstrates great understanding of core concepts.,7,Average,78.8
1230,6.7,72.0,51.4,Shows excellent analytical thinking but frequently distracted during lectures.,5,Average,60.4
1231,8.2,89.7,82.1,Outstanding performance this semester and consistently submits assignments on time.,6,Average,87.7
1232,5.5,61.9,73.4,Demonstrates great understanding of core concepts but inconsistent attendance affecting performance.,0,Average,68.8
1233,6.2,96.1,61.5,Shows excellent analytical thinking and highly engaged in class discussions.,5,Average,71.8
1234,5.4,94.1,94.7,Highly engaged in class discussions and outstanding performance this semester.,1,Average,83.9
1235,2.8,86.7,41.3,Highly engaged in class discussions but frequently distracted during lectures.,5,Dropout Risk,47.5
1236,7.5,83.7,58.9,Shows excellent analytical thinking and active participant and eager to learn.,2,Average,80.6
1237,3.5,95.7,43.4,Frequently distracted during lectures but consistently submits assignments on time.,6,Average,56.9
1238,1.2,67.4,86.0,Struggling with algebra concepts but outstanding performance this semester.,2,Average,66.2
1239,6.8,63.2,82.1,Shows excellent analytical thinking but finds it difficult to keep up with the pace.,8,Average,83.3
1240,2.6,69.6,59.9,Needs significant improvement in fundamentals but outstanding performance this semester.,2,Dropout Risk,53.5
1241,9.5,91.8,80.5,Demonstrates great understanding of core concepts and active participant and eager to learn.,6,Average,87.8
1242,9.6,61.4,63.8,Demonstrates great understanding of core concepts but inconsistent attendance affecting performance.,3,Average,67.0
1243,9.2,83.3,85.4,Outstanding performance this semester and shows excellent analytical thinking.,7,Average,84.1
1244,4.3,99.8,67.3,Consistently submits assignments on time.,1,Average,65.1
1245,1.1,94.2,64.7,Consistently submits assignments on time but struggling with algebra concepts.,7,Average,65.0
1246,9.4,80.9,96.1,Shows excellent analytical thinking and outstanding performance this semester.,8,Top 5%,96.0
1247,4.9,62.5,55.1,Inconsistent attendance affecting performance.,7,Average,59.7
1248,9.7,93.3,47.2,Shows excellent analytical thinking but frequently distracted during lectures.,5,Average,69.7
1249,9.7,84.0,75.1,Outstanding performance this semester and active participant and eager to learn.,9,Average,83.1
1250,8.7,64.6,98.2,Inconsistent attendance affecting performance but outstanding performance this semester.,0,Top 5%,93.4
1251,3.7,63.8,62.7,Finds it difficult to keep up with the pace.,6,Average,58.4
1252,4.5,96.4,43.7,Needs significant improvement in fundamentals but consistently submits assignments on time.,0,Average,61.3
1253,8.7,86.8,60.4,Highly engaged in class discussions and shows excellent analytical thinking.,6,Average,83.3
1254,3.9,93.2,70.4,Consistently submits assignments on time.,1,Average,77.8
1255,2.5,95.2,49.7,Active participant and eager to learn but needs significant improvement in fundamentals.,7,Average,56.2
1256,6.0,82.9,79.5,Outstanding performance this semester and demonstrates great understanding of core concepts.,1,Average,78.0
1257,9.4,80.7,99.9,Active participant and eager to learn and outstanding performance this semester.,2,Top 5%,98.1
1258,7.3,77.2,67.1,Shows excellent analytical thinking.,2,Average,87.4
1259,6.1,72.7,61.3,Shows excellent analytical thinking.,0,Average,57.3
1260,1.9,77.4,64.0,Struggling with algebra concepts.,4,Average,58.8
1261,6.5,91.0,46.9,Shows excellent analytical thinking but frequently distracted during lectures.,4,Average,68.3
1262,9.9,84.1,93.0,Consistently submits assignments on time and outstanding performance this semester.,9,Top 5%,99.9
1263,2.3,95.7,64.9,Consistently submits assignments on time.,4,Average,59.3
1264,5.7,77.7,63.2,Demonstrates great understanding of core concepts.,8,Average,68.2
1265,8.9,84.3,79.6,Outstanding performance this semester and active participant and eager to learn.,5,Average,91.8
1266,7.7,85.3,66.5,Consistently submits assignments on time and shows excellent analytical thinking.,5,Top 5%,94.6
1267,7.3,83.7,78.9,Shows excellent analytical thinking and outstanding performance this semester.,2,Average,86.2
1268,7.3,88.1,43.7,Needs significant improvement in fundamentals but consistently submits assignments on time.,4,Average,65.3
1269,4.2,69.5,88.8,Outstanding performance this semester.,9,Average,69.1
1270,3.6,80.5,96.4,Outstanding performance this semester and consistently submits assignments on time.,6,Average,73.2
1271,8.3,64.2,78.9,Finds it difficult to keep up with the pace but outstanding performance this semester.,2,Average,70.8
1272,8.3,75.4,97.3,Outstanding performance this semester and shows excellent analytical thinking.,1,Average,88.9
1273,8.8,79.5,49.1,Needs significant improvement in fundamentals but shows excellent analytical thinking.,4,Average,78.0
1274,9.2,86.1,68.6,Active participant and eager to learn and shows excellent analytical thinking.,2,Average,79.2
1275,5.6,98.0,76.1,Demonstrates great understanding of core concepts and outstanding performance this semester.,4,Average,84.7
1276,5.5,84.0,74.9,Shows excellent analytical thinking and highly engaged in class discussions.,8,Average,76.9
1277,8.2,89.7,64.1,Highly engaged in class discussions and shows excellent analytical thinking.,9,Average,77.5
1278,6.8,80.3,60.3,Demonstrates great understanding of core concepts and highly engaged in class discussions.,0,Average,71.5
1279,7.3,85.4,47.6,Frequently distracted during lectures but demonstrates great understanding of core concepts.,3,Average,78.3
1280,8.2,62.8,63.5,Finds it difficult to keep up with the pace but demonstrates great understanding of core concepts.,9,Average,76.5
1281,9.0,70.2,49.8,Frequently distracted during lectures but shows excellent analytical thinking.,4,Average,72.5
1282,4.0,74.5,84.1,Outstanding performance this semester.,1,Average,68.9
1283,4.4,78.9,52.5,Frequently distracted during lectures.,1,Average,60.4
1284,1.8,61.8,43.5,Frequently distracted during lectures and needs significant improvement in fundamentals.,0,Dropout Risk,39.9
1285,6.2,65.6,73.1,Shows excellent analytical thinking.,7,Average,60.1
1286,1.3,71.1,75.7,Struggling with algebra concepts but outstanding performance this semester.,1,Average,66.5
1287,5.2,98.9,92.3,Outstanding performance this semester and shows excellent analytical thinking.,2,Average,85.5
1288,5.9,73.3,74.6,Demonstrates great understanding of core concepts.,1,Average,74.4
1289,3.6,79.3,60.7,Finds it difficult to keep up with the pace but demonstrates great understanding of core concepts.,3,Average,60.3
1290,6.3,67.8,88.2,Demonstrates great understanding of core concepts and outstanding performance this semester.,0,Average,74.1
1291,1.3,84.4,72.4,Struggling with algebra concepts but active participant and eager to learn.,2,Average,57.8
